"fbid","symbol"
"FBgn0028690","Rpn5"
"FBgn0037377","CG1218"
"FBgn0037378","CG2046"
"FBgn0037379","CG10979"
"FBgn0263353","CG11000"
"FBgn0261561","CG42675"
"FBgn0037382","Hpr1"
"FBgn0284081","CG46303"
"FBgn0037383","CG2023"
"FBgn0037384","dgrn"
"FBgn0037386","CG1208"
"FBgn0037387","CG1213"
"FBgn0029088","disp"
"FBgn0028436","ECSIT"
"FBgn0037391","CG2017"
"FBgn0083949","side-III"
"FBgn0010403","Obp83b"
"FBgn0003261","Rm62"
"FBgn0037408","NPFR"
"FBgn0037409","Osi24"
"FBgn0037433","CG17919"
"FBgn0261789","SmD2"
"FBgn0037435","CG18048"
"FBgn0267698","Pak"
"FBgn0261641","CG42724"
"FBgn0037439","CG10286"
"FBgn0037440","CRAT"
"FBgn0027514","CG1024"
"FBgn0010282","TfIIFalpha"
"FBgn0037442","gzl"
"FBgn0037443","Dmtn"
"FBgn0264495","gpp"
"FBgn0037445","CG9727"
"FBgn0037446","Zif"
"FBgn0037448","CG15186"
"FBgn0053202","dpr11"
"FBgn0051286","CG31286"
"FBgn0026565","Ass"
"FBgn0010355","Taf1"
"FBgn0026566","CG1307"
"FBgn0262801","twr"
"FBgn0024912","agt"
"FBgn0002522","lab"
"FBgn0051481","pb"
"FBgn0000071","Ama"
"FBgn0024289","Sodh-1"
"FBgn0026563","CG1979"
"FBgn0037465","CG1105"
"FBgn0037466","CG1965"
"FBgn0037467","Ufl1"
"FBgn0037468","CG1943"
"FBgn0010774","Ref1"
"FBgn0037469","Dpck"
"FBgn0037470","Tailor"
"FBgn0003884","alphaTub84B"
"FBgn0040670","e(y)2b"
"FBgn0261238","Alh"
"FBgn0014863","Mlp84B"
"FBgn0037472","CG10098"
"FBgn0037473","CG10068"
"FBgn0051248","CG31248"
"FBgn0037475","Fer1"
"FBgn0037478","CG2656"
"FBgn0250732","gfzf"
"FBgn0011020","Sas-4"
"FBgn0037481","MAGE"
"FBgn0002306","sas"
"FBgn0037482","CG10055"
"FBgn0086372","lap"
"FBgn0037483","CG14609"
"FBgn0037485","CG14606"
"FBgn0037486","CG14605"
"FBgn0037487","thw"
"FBgn0037489","CG1234"
"FBgn0037490","CG10053"
"FBgn0037491","CG1227"
"FBgn0037492","CG10050"
"FBgn0001112","Gld"
"FBgn0028400","Syt4"
"FBgn0037504","CG1142"
"FBgn0015569","alpha-Est10"
"FBgn0015577","alpha-Est9"
"FBgn0037506","Mics1"
"FBgn0015576","alpha-Est8"
"FBgn0017456","Ubc84D"
"FBgn0015575","alpha-Est7"
"FBgn0015831","Rtnl2"
"FBgn0003885","alphaTub84D"
"FBgn0261393","alpha-Est5"
"FBgn0015572","alpha-Est4"
"FBgn0015571","alpha-Est3"
"FBgn0015570","alpha-Est2"
"FBgn0015568","alpha-Est1"
"FBgn0083963","Nlg3"
"FBgn0037513","pyd3"
"FBgn0037515","Sp7"
"FBgn0042104","CG18747"
"FBgn0042102","CG18745"
"FBgn0042105","CG18748"
"FBgn0042103","CG18746"
"FBgn0037517","CG10086"
"FBgn0037518","CG2641"
"FBgn0042101","CG18744"
"FBgn0037519","CG3014"
"FBgn0037520","CG18268"
"FBgn0037521","CG2993"
"FBgn0051472","sgll"
"FBgn0051473","CG31473"
"FBgn0085413","CG34384"
"FBgn0037525","CG17816"
"FBgn0037526","ArgRS-m"
"FBgn0037529","mRpS9"
"FBgn0260005","wtrw"
"FBgn0037530","EMC1"
"FBgn0024909","Taf7"
"FBgn0004901","Prat"
"FBgn0014930","CG2846"
"FBgn0014931","CG2678"
"FBgn0037531","CG10445"
"FBgn0002542","lds"
"FBgn0000504","dsx"
"FBgn0037533","CD98hc"
"FBgn0037534","ELOVL"
"FBgn0037535","PIG-H"
"FBgn0266598","Kmn2"
"FBgn0037536","CG2698"
"FBgn0037537","CG2767"
"FBgn0040524","CG11052"
"FBgn0037538","CG3223"
"FBgn0037539","CG10435"
"FBgn0037540","Pbp95"
"FBgn0037541","CG2747"
"FBgn0001255","ImpE3"
"FBgn0037543","CG10903"
"FBgn0037544","CG11035"
"FBgn0010812","unc-45"
"FBgn0037546","mAChR-B"
"FBgn0037547","CG7910"
"FBgn0037548","CG7900"
"FBgn0243512","puc"
"FBgn0037549","CG7878"
"FBgn0037550","CG9667"
"FBgn0037551","Arl8"
"FBgn0001138","grn"
"FBgn0037552","CG7800"
"FBgn0037554","DNApol-iota"
"FBgn0037555","Ada2b"
"FBgn0037556","CG9636"
"FBgn0064126","CG33722"
"FBgn0040528","CG15864"
"FBgn0260386","mtg"
"FBgn0010173","RpA-70"
"FBgn0014861","Mcm2"
"FBgn0037561","CG9630"
"FBgn0037562","Nazo"
"FBgn0037563","CG11672"
"FBgn0051464","CG31464"
"FBgn0051463","CG31463"
"FBgn0037566","mRpL1"
"FBgn0265351","nac"
"FBgn0265101","Sgt1"
"FBgn0037569","tex"
"FBgn0037573","CG7483"
"FBgn0037574","Coq2"
"FBgn0062412","Ctr1B"
"FBgn0040529","COX7A"
"FBgn0004908","Arl2"
"FBgn0037578","CG9601"
"FBgn0037579","COX7AL"
"FBgn0037580","DppIII"
"FBgn0037581","CG7352"
"FBgn0261108","Atg13"
"FBgn0020249","stck"
"FBgn0037583","CG9684"
"FBgn0266801","CG45263"
"FBgn0037592","CG11737"
"FBgn0051454","CG31454"
"FBgn0051259","CG31259"
"FBgn0040531","CG11741"
"FBgn0051453","pch2"
"FBgn0051450","mRpS18A"
"FBgn0051460","CG31460"
"FBgn0266916","Cenp-C"
"FBgn0261929","5-HT2B"
"FBgn0024326","Mkk4"
"FBgn0037602","SLIRP2"
"FBgn0000447","Dhod"
"FBgn0037603","CG11753"
"FBgn0259992","CG42489"
"FBgn0263231","bel"
"FBgn0086679","p"
"FBgn0037606","CG8032"
"FBgn0037607","CG8036"
"FBgn0037608","mRpL19"
"FBgn0037609","CG9773"
"FBgn0037610","CG8043"
"FBgn0037611","CG11755"
"FBgn0037613","Cks85A"
"FBgn0037612","CG8112"
"FBgn0037614","TMEM216"
"FBgn0037616","CG8136"
"FBgn0037617","nom"
"FBgn0037618","ouib"
"FBgn0037619","CG8159"
"FBgn0037620","ranshi"
"FBgn0037621","M1BP"
"FBgn0037622","CG8202"
"FBgn0037623","CG9801"
"FBgn0037624","CG8223"
"FBgn0037627","CG13318"
"FBgn0085330","CG34301"
"FBgn0037630","Ir85a"
"FBgn0037632","CCT7"
"FBgn0037633","CG9839"
"FBgn0037634","hng2"
"FBgn0037635","CG9837"
"FBgn0286516","aqz"
"FBgn0040532","CG8369"
"FBgn0037637","IscU"
"FBgn0037638","CG8379"
"FBgn0262614","pyd"
"FBgn0037643","ScsbetaA"
"FBgn0037644","CG11964"
"FBgn0286204","ich"
"FBgn0037646","CAHbeta"
"FBgn0037647","RagA-B"
"FBgn0027503","CG11970"
"FBgn0260243","E(var)3-9"
"FBgn0037648","CG11975"
"FBgn0037652","CG11980"
"FBgn0026380","Prosbeta3"
"FBgn0037653","Iru"
"FBgn0037655","Kcmf1"
"FBgn0040534","Sf3b5"
"FBgn0037656","CG11986"
"FBgn0264075","tgo"
"FBgn0002932","neur"
"FBgn0037657","hyx"
"FBgn0010222","Nmdmc"
"FBgn0014018","Rel"
"FBgn0028708","Mst85C"
"FBgn0037659","Kdm2"
"FBgn0037660","beag"
"FBgn0037661","Ada"
"FBgn0003165","pum"
"FBgn0000412","D1"
"FBgn0260935","Vps15"
"FBgn0037667","CG16734"
"FBgn0037669","Ibf2"
"FBgn0037670","Ibf1"
"FBgn0037671","ATP6AP2"
"FBgn0037672","sage"
"FBgn0010803","TrpRS"
"FBgn0285911","Vps16A"
"FBgn0037676","CG8861"
"FBgn0037678","CG16749"
"FBgn0037679","Aduk"
"FBgn0037680","pasi2"
"FBgn0266410","CG45050"
"FBgn0263750","CG43675"
"FBgn0037683","CG18473"
"FBgn0037684","Srr"
"FBgn0000723","FER"
"FBgn0083953","CG34117"
"FBgn0037686","RpL34b"
"FBgn0037687","CG8132"
"FBgn0037688","CG9356"
"FBgn0011740","alpha-Man-IIa"
"FBgn0261552","ps"
"FBgn0037696","GstZ1"
"FBgn0037697","GstZ2"
"FBgn0037698","CG16779"
"FBgn0043791","phu"
"FBgn0014380","RhoL"
"FBgn0037700","CG8149"
"FBgn0267790","rump"
"FBgn0003205","Ras85D"
"FBgn0014022","Rlb1"
"FBgn0014023","mRpL47"
"FBgn0037702","CG8176"
"FBgn0037703","JHDM2"
"FBgn0000244","by"
"FBgn0037705","mura"
"FBgn0037707","RnpS1"
"FBgn0037708","CG9386"
"FBgn0037709","CG8199"
"FBgn0024833","AP-1mu"
"FBgn0027950","MBD-like"
"FBgn0037710","CG9393"
"FBgn0261049","Vps45"
"FBgn0037712","CG16789"
"FBgn0037713","CG16790"
"FBgn0037714","CG9396"
"FBgn0037715","CG9399"
"FBgn0027338","Kap-alpha3"
"FBgn0037716","Son"
"FBgn0037717","CG8301"
"FBgn0037718","P58IPK"
"FBgn0037719","bocks"
"FBgn0037720","CG8312"
"FBgn0037721","CG9427"
"FBgn0037722","CG8319"
"FBgn0005585","Calr"
"FBgn0037723","SpdS"
"FBgn0003334","Scm"
"FBgn0012344","Dh44"
"FBgn0037724","Fst"
"FBgn0037726","CG9492"
"FBgn0037727","Nepl12"
"FBgn0037728","p23"
"FBgn0028997","nmdyn-D7"
"FBgn0037730","CG9444"
"FBgn0069242","eca"
"FBgn0260463","Unc-115b"
"FBgn0051352","Unc-115a"
"FBgn0037734","trbd"
"FBgn0278604","dmt"
"FBgn0002431","hyd"
"FBgn0262477","FoxP"
"FBgn0037736","side-VII"
"FBgn0037737","Pnn"
"FBgn0085438","CG34409"
"FBgn0051415","CG31415"
"FBgn0037739","CG12948"
"FBgn0005777","PpD3"
"FBgn0037741","CG16908"
"FBgn0037742","Rpt3R"
"FBgn0037743","CG8412"
"FBgn0286506","Mpi"
"FBgn0266720","Snap24"
"FBgn0037746","CG8478"
"FBgn0024330","MED6"
"FBgn0037747","Naa80"
"FBgn0037749","CG9471"
"FBgn0037750","Whamy"
"FBgn0037751","topi"
"FBgn0261599","RpS29"
"FBgn0037753","CG12947"
"FBgn0002868","MtnA"
"FBgn0037754","CG8500"
"FBgn0037755","CG12945"
"FBgn0037756","CG8507"
"FBgn0037757","CG8516"
"FBgn0037758","CG9467"
"FBgn0037760","FBXO11"
"FBgn0262104","CG42857"
"FBgn0037766","Teh1"
"FBgn0267336","Glut4EF"
"FBgn0037770","Art4"
"FBgn0037773","CG5359"
"FBgn0053208","Mical"
"FBgn0027524","CG3909"
"FBgn0037777","CG11722"
"FBgn0037778","mtTFB2"
"FBgn0037779","CG12811"
"FBgn0037780","ohgt"
"FBgn0037781","Fancl"
"FBgn0051410","Npc2e"
"FBgn0037782","Npc2d"
"FBgn0037783","Npc2c"
"FBgn0037786","Alp13"
"FBgn0028734","Fmr1"
"FBgn0037788","CAH7"
"FBgn0266721","gammaSnap2"
"FBgn0051477","ATPsynepsilonL"
"FBgn0001321","knk"
"FBgn0004889","tws"
"FBgn0037792","TAF1B"
"FBgn0086359","Invadolysin"
"FBgn0037794","CG6254"
"FBgn0040238","Best1"
"FBgn0037796","CG12814"
"FBgn0004575","Syn"
"FBgn0025879","Timp"
"FBgn0037798","CG12817"
"FBgn0261928","CG42795"
"FBgn0037802","Sirt6"
"FBgn0040078","pont"
"FBgn0262617","Nuak1"
"FBgn0037807","CG6293"
"FBgn0266717","Bruce"
"FBgn0037809","CG12818"
"FBgn0037810","sle"
"FBgn0037811","CG12592"
"FBgn0015396","jumu"
"FBgn0020379","Rfx"
"FBgn0259938","cwo"
"FBgn0037814","CG6325"
"FBgn0024957","Irp-1B"
"FBgn0037815","Rrp46"
"FBgn0037816","CG6345"
"FBgn0037817","Cyp12e1"
"FBgn0001235","hth"
"FBgn0037818","CG6465"
"FBgn0037819","CG14688"
"FBgn0020385","pug"
"FBgn0037822","CG14683"
"FBgn0051391","CG31391"
"FBgn0051467","CG31467"
"FBgn0051278","CG31278"
"FBgn0051373","CG31373"
"FBgn0051272","CG31272"
"FBgn0051390","MED7"
"FBgn0037831","Cap-H2"
"FBgn0010421","TfIIFbeta"
"FBgn0266446","CG45076"
"FBgn0266448","CG45078"
"FBgn0261356","CG42633"
"FBgn0261380","mRpL37"
"FBgn0260944","Rbp1"
"FBgn0037834","Art1"
"FBgn0017577","Mcm5"
"FBgn0037838","TTLL15"
"FBgn0261053","Cad86C"
"FBgn0259740","CG42394"
"FBgn0037841","CG4565"
"FBgn0037842","CG6567"
"FBgn0037843","CG4511"
"FBgn0037844","CG4570"
"FBgn0037845","CG14694"
"FBgn0037846","CG6574"
"FBgn0267376","SelR"
"FBgn0037848","Tsp86D"
"FBgn0011768","Fdh"
"FBgn0037849","CG4596"
"FBgn0022359","Sodh-2"
"FBgn0037850","CG14695"
"FBgn0037852","Tpc1"
"FBgn0037853","CG14696"
"FBgn0037856","Leash"
"FBgn0042094","Adk3"
"FBgn0037855","CG6621"
"FBgn0040256","Ugt35C1"
"FBgn0040251","Ugt302K1"
"FBgn0040257","Ugt302E1"
"FBgn0040259","Ugt302C1"
"FBgn0027584","CG4757"
"FBgn0040253","Ugt35E1"
"FBgn0026314","Ugt35B1"
"FBgn0026315","Ugt35A1"
"FBgn0040250","Ugt304A1"
"FBgn0040252","Ugt303A1"
"FBgn0037870","CG18577"
"FBgn0261808","cu"
"FBgn0037873","SdhC"
"FBgn0037874","Tctp"
"FBgn0037875","ZnT86D"
"FBgn0086472","RpS25"
"FBgn0037876","CG4820"
"FBgn0037877","CG6689"
"FBgn0037878","CG6693"
"FBgn0020910","RpL3"
"FBgn0037879","scpr-C"
"FBgn0037880","CG17726"
"FBgn0037881","GCC88"
"FBgn0037882","CG17187"
"FBgn0037883","CG14701"
"FBgn0037884","Arfip"
"FBgn0037885","CG17721"
"FBgn0051441","CG31441"
"FBgn0051388","CG31388"
"FBgn0037890","CG17734"
"FBgn0037891","CG5214"
"FBgn0004595","pros"
"FBgn0037892","mRpL40"
"FBgn0264694","mgr"
"FBgn0011774","Irbp"
"FBgn0037894","Ranbp9"
"FBgn0037897","CG5270"
"FBgn0037898","Dtd"
"FBgn0037899","RpL24-like"
"FBgn0037900","CG5276"
"FBgn0037901","Exd2"
"FBgn0037902","CG5281"
"FBgn0051374","sals"
"FBgn0046225","CG17230"
"FBgn0037906","PGRP-LB"
"FBgn0053512","dpr4"
"FBgn0037911","CG10898"
"FBgn0037913","fabp"
"FBgn0037912","sea"
"FBgn0263316","Mrp4"
"FBgn0037917","wkd"
"FBgn0037918","CG6791"
"FBgn0051363","Jupiter"
"FBgn0037920","CG14710"
"FBgn0037921","CG6808"
"FBgn0037922","CG14711"
"FBgn0037923","CG6813"
"FBgn0042205","CG18764"
"FBgn0037924","CG14712"
"FBgn0262081","Csk"
"FBgn0037926","Elp1"
"FBgn0259227","CG42327"
"FBgn0037930","CG14715"
"FBgn0037931","CG18476"
"FBgn0011290","Taf12"
"FBgn0037933","Ho"
"FBgn0037934","CG6830"
"FBgn0037935","CG6834"
"FBgn0037936","CG6908"
"FBgn0042110","CG18765"
"FBgn0037941","CG12594"
"FBgn0037942","CG14721"
"FBgn0002906","Blm"
"FBgn0037943","CG14722"
"FBgn0037944","CG6923"
"FBgn0017581","Lk6"
"FBgn0265276","l(3)neo38"
"FBgn0037949","prd1"
"FBgn0037950","HisCl1"
"FBgn0025802","Sbf"
"FBgn0051116","ClC-a"
"FBgn0259139","glo"
"FBgn0019624","COX5A"
"FBgn0037955","Kyat"
"FBgn0037956","CG6959"
"FBgn0037958","CG6962"
"FBgn0051368","CG31368"
"FBgn0037960","mthl5"
"FBgn0037963","Cad87A"
"FBgn0051211","CG31211"
"FBgn0013275","Hsp70Aa"
"FBgn0013276","Hsp70Ab"
"FBgn0260741","CG3281"
"FBgn0000147","aurA"
"FBgn0260742","CG12213"
"FBgn0260743","GC1"
"FBgn0260744","Tango9"
"FBgn0037972","CG10005"
"FBgn0037973","CG18547"
"FBgn0037974","CG12224"
"FBgn0037975","CG3397"
"FBgn0260745","mfas"
"FBgn0037976","Tk"
"FBgn0260746","Ect3"
"FBgn0037978","KLHL18"
"FBgn0037979","GCC185"
"FBgn0037980","DCAF12"
"FBgn0037981","Spt3"
"FBgn0037988","CG14740"
"FBgn0037989","ATP8B"
"FBgn0051361","dpr17"
"FBgn0037992","CG4702"
"FBgn0037993","dpr15"
"FBgn0037996","CG4830"
"FBgn0037998","Cog1"
"FBgn0037999","CG4860"
"FBgn0038013","CG10038"
"FBgn0038014","CG10041"
"FBgn0038016","MBD-R2"
"FBgn0038017","CG4115"
"FBgn0038018","Tim17a1"
"FBgn0042206","GstD10"
"FBgn0038020","GstD9"
"FBgn0001149","GstD1"
"FBgn0010038","GstD2"
"FBgn0010039","GstD3"
"FBgn0010040","GstD4"
"FBgn0010041","GstD5"
"FBgn0010042","GstD6"
"FBgn0010043","GstD7"
"FBgn0010044","GstD8"
"FBgn0085431","CG34402"
"FBgn0038034","Cyp9f3"
"FBgn0286075","DNAlig3"
"FBgn0038037","Cyp9f2"
"FBgn0038038","Sccpdh2"
"FBgn0038039","CG5196"
"FBgn0000455","Dip-C"
"FBgn0082831","pps"
"FBgn0038042","Scgbeta"
"FBgn0038043","CG17202"
"FBgn0004103","Pp1-87B"
"FBgn0038046","CG5641"
"FBgn0038047","CG5245"
"FBgn0086134","Prosalpha2"
"FBgn0029512","Aos1"
"FBgn0038049","Srlp"
"FBgn0043043","Desat2"
"FBgn0086687","Desat1"
"FBgn0286507","vrs"
"FBgn0038053","CG18549"
"FBgn0038055","trus"
"FBgn0038056","CG5961"
"FBgn0038057","CG12267"
"FBgn0038058","CG5608"
"FBgn0013277","Hsp70Ba"
"FBgn0051354","Hsp70Bbb"
"FBgn0013278","Hsp70Bb"
"FBgn0013279","Hsp70Bc"
"FBgn0250910","Octbeta3R"
"FBgn0028374","Hug"
"FBgn0038063","Octbeta2R"
"FBgn0005671","Vha55"
"FBgn0038065","Snx3"
"FBgn0260444","Not10"
"FBgn0042207","CG18530"
"FBgn0038070","CG6753"
"FBgn0038071","Dtg"
"FBgn0038072","CG6225"
"FBgn0038074","Gnmt"
"FBgn0026207","mbo"
"FBgn0038076","Cyp313a4"
"FBgn0001296","kar"
"FBgn0005355","Su(fu)"
"FBgn0011745","Arp1"
"FBgn0038079","NijC"
"FBgn0016693","Past1"
"FBgn0038080","CG12279"
"FBgn0002905","DNApol-theta"
"FBgn0002719","Men"
"FBgn0038082","Ugt37A2"
"FBgn0038083","Ugt37A3"
"FBgn0038084","beat-Vc"
"FBgn0051345","CG31345"
"FBgn0038088","CG10126"
"FBgn0040493","grsm"
"FBgn0087021","Spc25"
"FBgn0038095","Cyp304a1"
"FBgn0038098","CG7381"
"FBgn0038099","CG7091"
"FBgn0038100","Paip2"
"FBgn0051342","CG31342"
"FBgn0038106","CG7488"
"FBgn0038108","CG7518"
"FBgn0038110","CG8031"
"FBgn0020496","CtBP"
"FBgn0283438","CG46280"
"FBgn0283439","CG46281"
"FBgn0002354","l(3)87Df"
"FBgn0003308","ry"
"FBgn0038113","CG11668"
"FBgn0003450","snk"
"FBgn0001217","Hsc70-2"
"FBgn0038115","CG7966"
"FBgn0260962","pic"
"FBgn0004666","sim"
"FBgn0038118","timeout"
"FBgn0260793","2mit"
"FBgn0000024","Ace"
"FBgn0040551","CG11686"
"FBgn0038128","Ravus"
"FBgn0003598","Su(var)3-7"
"FBgn0038129","TBC1D5"
"FBgn0038132","apn"
"FBgn0038134","wntD"
"FBgn0038135","CG8773"
"FBgn0038136","CG8774"
"FBgn0052473","CG32473"
"FBgn0262844","CG43208"
"FBgn0264991","CG44142"
"FBgn0266455","CG45080"
"FBgn0086371","poly"
"FBgn0027610","Dic1"
"FBgn0023495","Lip3"
"FBgn0038143","CG9813"
"FBgn0038144","CG8870"
"FBgn0044511","mRpS21"
"FBgn0038145","Droj2"
"FBgn0038146","CG9799"
"FBgn0038147","CCHa2"
"FBgn0038149","GILT1"
"FBgn0053977","CG33977"
"FBgn0000046","Act87E"
"FBgn0004049","yrt"
"FBgn0038156","side-IV"
"FBgn0038160","CG9759"
"FBgn0003060","CG9757"
"FBgn0263396","sqd"
"FBgn0015778","rin"
"FBgn0010258","Rbp4"
"FBgn0004237","Hrb87F"
"FBgn0004587","B52"
"FBgn0038165","Task6"
"FBgn0038166","CG9588"
"FBgn0038167","Lkb1"
"FBgn0038168","omd"
"FBgn0024555","flfl"
"FBgn0038170","CG14367"
"FBgn0028487","f-cup"
"FBgn0038172","Adgf-D"
"FBgn0051469","CG31469"
"FBgn0085412","CG34383"
"FBgn0038179","CG9312"
"FBgn0038180","Cht5"
"FBgn0038181","CG9297"
"FBgn0038183","CG9286"
"FBgn0000454","Dip-B"
"FBgn0266464","Nsf2"
"FBgn0051495","CG31495"
"FBgn0016672","Ipp"
"FBgn0038191","CG9925"
"FBgn0015270","Orc2"
"FBgn0264493","rdx"
"FBgn0038194","Cyp6d5"
"FBgn0038195","CG3061"
"FBgn0038196","CG9922"
"FBgn0038197","foxo"
"FBgn0038198","Npc2b"
"FBgn0038199","CCHa1"
"FBgn0038202","CG12402"
"FBgn0038205","Kif19A"
"FBgn0020510","Abi"
"FBgn0038206","twf"
"FBgn0010340","140up"
"FBgn0262955","RpII140"
"FBgn0011582","Dop1R1"
"FBgn0053109","CG33109"
"FBgn0027083","MetRS-m"
"FBgn0003862","trx"
"FBgn0285913","red"
"FBgn0038221","IFT54"
"FBgn0003567","su(Hw)"
"FBgn0004855","RpII15"
"FBgn0051321","CG31321"
"FBgn0011474","PR-Set7"
"FBgn0038223","Afti"
"FBgn0038224","ATPsynE"
"FBgn0003480","spn-B"
"FBgn0024321","NK7.1"
"FBgn0051320","HEATR2"
"FBgn0038225","soti"
"FBgn0285955","cv-c"
"FBgn0085417","natalisin"
"FBgn0038233","HtrA2"
"FBgn0038234","mRpL11"
"FBgn0038235","CG8461"
"FBgn0038237","Pde6"
"FBgn0051313","CG31313"
"FBgn0038243","CG8066"
"FBgn0004629","Cys"
"FBgn0038244","CG7987"
"FBgn0003169","put"
"FBgn0013981","His4r"
"FBgn0038248","CG7886"
"FBgn0086686","l(3)L1231"
"FBgn0038250","CG3505"
"FBgn0038251","Hexim"
"FBgn0025808","Rad17"
"FBgn0265140","Meltrin"
"FBgn0262127","kibra"
"FBgn0038256","CG7530"
"FBgn0011217","eff"
"FBgn0263929","jvl"
"FBgn0038257","smp-30"
"FBgn0038260","CG14855"
"FBgn0038261","CG14856"
"FBgn0038262","CG14857"
"FBgn0266756","btsz"
"FBgn0038268","CG3631"
"FBgn0038269","Rrp6"
"FBgn0067629","CG33332"
"FBgn0067628","CG33331"
"FBgn0004597","CycC"
